names,scores,logfoldchanges,pvals,pvals_adj
SFTPC,3.8150966,4.903191,0.00013612970124439314,0.01824804129166507
MMP25,3.8012452,2.402923,0.00014397067888300446,0.019155556940146683
CSF2RB,3.7790587,0.8401303,0.00015742224429605452,0.020697926261854474
RBM39,3.7717042,0.8999771,0.00016213641209276674,0.02123414752254917
SELENOK,3.7652075,1.085858,0.0001664107788565419,0.021624336072735693
GABARAPL1,3.7589562,1.1363121,0.00017062374855106947,0.02208585545198262
RPS21,3.731131,1.1782802,0.0001906220037518968,0.02457919859960751
TXN,3.721815,1.5276244,0.00019779576124938166,0.02538259564434658
RPL11,3.7084544,1.12005,0.000208528306233619,0.02658019585869443
DDX21,3.7046545,1.0394751,0.00021167915874228485,0.02687922884166291
RPS18,3.6957061,1.0759223,0.0002192764008974515,0.027647127919812768
TMEM71,3.6955836,1.5009794,0.00021938222837316994,0.027647127919812768
RAB11B,3.6779325,1.8427408,0.00023513214118816946,0.02952057513954927
LAPTM4A,3.673765,1.444849,0.0002390026593589023,0.0297968829241612
PPP2R5A,3.6736424,2.1551902,0.00023911739800201227,0.0297968829241612
PNPLA2,3.669352,1.8233818,0.00024316596266583926,0.03018873787802367
AC005912.1,3.6623652,1.7492347,0.00024989725666690774,0.0309095140135113
IDS,3.6480236,1.1111461,0.00026426531220398095,0.03253932130047429
COX6C,3.647288,2.5370264,0.00026502261928760943,0.03253932130047429
IFRD1,3.63834,0.8789996,0.000274400967913953,0.033567379943056315
VAPA,3.6361337,1.2618767,0.0002767607728351285,0.033679687831421286
CASS4,3.6352756,2.3227453,0.0002776836003844933,0.033679687831421286
CEBPD,3.6346626,1.6767364,0.00027834452753240733,0.033679687831421286
ADGRE2,3.6244888,1.3751079,0.0002895335555097901,0.03478152021512572
ANPEP,3.6198308,2.3194845,0.0002947956378630628,0.035160696864553025
CEACAM6,3.6094117,3.8584452,0.000306892097326268,0.0364731974459361
SERPINB1,3.6054893,0.9069338,0.0003115652993630011,0.03689728630328647
HSPA8,3.600096,0.8673905,0.0003180998101313167,0.03753802565069064
RPLP1,3.585264,1.0903208,0.00033673730834134176,0.03959746179354735
ALOX5,3.5738645,1.5652826,0.0003517511735517289,0.04121783225239838
RPL27,3.5560906,1.2966841,0.0003764142235004098,0.04395359932874016
CMTM2,3.5541294,0.955382,0.0003792325338549905,0.04397517257160161
RPS5,3.5316978,1.4528188,0.00041290096413302776,0.04754910551098825
GRK2,3.5254464,0.9735464,0.00042276982638938816,0.04850899835615521
RPL12,3.5129435,2.0092628,0.00044317179297466685,0.0505125092088122
EZR,3.511595,1.5936463,0.00044542606948492906,0.05059676536230848
SELL,3.4965181,0.7344075,0.00047137253894481636,0.05336256715457996
PYGL,3.4756799,2.2322662,0.0005095600190421172,0.0572971932522914
TLN1,3.4528806,0.86728483,0.0005546345234095643,0.06197656465110071
NCOA7,3.4482226,1.6401907,0.0005642887282021838,0.0628166212234671
